genre,color,top,left,font_size,run_date
esperanto,"rgb(137, 141, 21)",9714px,797px,100%,20211202
spanish folk,"rgb(121, 147, 34)",13877px,618px,100%,20211202
polish alternative,"rgb(150, 136, 33)",8051px,685px,103%,20211202
italian mandolin,"rgb(91, 158, 135)",14728px,541px,100%,20211202
haitian traditional,"rgb(113, 139, 88)",15733px,956px,100%,20211202
crust punk,"rgb(225, 57, 95)",9756px,235px,100%,20211202
hip house,"rgb(199, 119, 62)",1350px,1084px,105%,20211202
portland punk,"rgb(207, 89, 59)",9850px,333px,100%,20211202
southern china indie,"rgb(153, 139, 58)",7902px,532px,100%,20211202
viet edm,"rgb(189, 137, 79)",2567px,814px,100%,20211202
hong kong hip hop,"rgb(165, 133, 30)",5932px,981px,101%,20211202
japanese guitar,"rgb(79, 168, 200)",15363px,942px,100%,20211202
cumbia pop,"rgb(182, 136, 3)",5696px,1079px,106%,20211202
belgian dnb,"rgb(215, 127, 127)",1572px,1147px,100%,20211202
japanese boom bap,"rgb(180, 119, 38)",8382px,973px,100%,20211202
funky tech house,"rgb(213, 122, 153)",503px,1279px,102%,20211202
hypnosis,"rgb(32, 150, 102)",17730px,315px,100%,20211202
slash punk,"rgb(208, 85, 92)",7413px,469px,100%,20211202
dark ambient,"rgb(110, 121, 190)",12478px,244px,100%,20211202
german electronica,"rgb(137, 146, 173)",4207px,948px,100%,20211202
ghoststep,"rgb(175, 139, 168)",1783px,1091px,100%,20211202
indonesian indigenous,"rgb(60, 157, 82)",17136px,771px,100%,20211202
slovak electronic,"rgb(182, 141, 179)",1375px,1186px,100%,20211202
trance,"rgb(208, 124, 122)",1813px,644px,107%,20211202
puerto rican rock,"rgb(185, 119, 20)",7108px,626px,101%,20211202
deep jazz fusion,"rgb(138, 134, 159)",11122px,764px,100%,20211202
oxford indie,"rgb(164, 130, 59)",7990px,419px,104%,20211202
rap galego,"rgb(186, 123, 13)",6902px,904px,100%,20211202
rap cristiano,"rgb(182, 136, 7)",6206px,983px,102%,20211202
irish modern jazz,"rgb(87, 154, 93)",15214px,699px,100%,20211202
polish indie,"rgb(149, 141, 52)",6818px,626px,101%,20211202
russian indie rock,"rgb(179, 128, 45)",5426px,557px,101%,20211202
latin,"rgb(179, 138, 3)",5969px,987px,132%,20211202
indie rock italiano,"rgb(180, 123, 52)",6850px,510px,105%,20211202
bboy,"rgb(193, 123, 94)",2648px,1080px,101%,20211202
nephop,"rgb(152, 143, 19)",7701px,1091px,100%,20211202
musica cristiana guatemalteca,"rgb(150, 145, 18)",10581px,902px,101%,20211202
indie r&b,"rgb(143, 133, 22)",10498px,808px,109%,20211202
danish punk,"rgb(214, 89, 51)",8198px,348px,100%,20211202
funk mandelao,"rgb(183, 132, 8)",6577px,1249px,103%,20211202
bemani,"rgb(51, 155, 199)",15760px,133px,100%,20211202
nottingham hip hop,"rgb(166, 132, 28)",9677px,1090px,101%,20211202
organic house,"rgb(168, 151, 197)",705px,1326px,103%,20211202
afro-cuban traditional,"rgb(129, 126, 24)",14807px,1119px,100%,20211202
irish contemporary classical,"rgb(51, 150, 125)",17480px,362px,100%,20211202
australian classical,"rgb(32, 159, 165)",19670px,369px,100%,20211202
classic norwegian pop,"rgb(121, 145, 11)",11879px,715px,102%,20211202
harp,"rgb(60, 169, 164)",17639px,767px,100%,20211202
jig and reel,"rgb(108, 161, 115)",16077px,731px,100%,20211202
modern blues,"rgb(140, 127, 35)",12855px,857px,104%,20211202
milan indie,"rgb(164, 134, 29)",6918px,675px,103%,20211202
jazz harp,"rgb(76, 158, 132)",16945px,718px,100%,20211202
morelos indie,"rgb(163, 139, 69)",6794px,518px,102%,20211202
german punk,"rgb(213, 93, 20)",7314px,444px,102%,20211202
bolivian rock,"rgb(178, 125, 27)",5845px,672px,100%,20211202
bath indie,"rgb(146, 130, 44)",11432px,492px,100%,20211202
funk das antigas,"rgb(196, 116, 11)",3492px,1155px,102%,20211202
rock tico,"rgb(191, 116, 24)",6039px,486px,100%,20211202
canadian psychedelic,"rgb(141, 132, 57)",12507px,567px,100%,20211202
thai indie rock,"rgb(162, 134, 34)",6115px,596px,101%,20211202
duduk,"rgb(91, 168, 168)",15231px,395px,100%,20211202
malang indie,"rgb(165, 131, 30)",6571px,518px,100%,20211202
deep freestyle,"rgb(180, 127, 58)",2166px,983px,100%,20211202
sudanese pop,"rgb(153, 139, 49)",6981px,968px,101%,20211202
bulgarian pop,"rgb(182, 132, 11)",4262px,896px,101%,20211202
classic danish pop,"rgb(143, 136, 11)",9665px,771px,102%,20211202
love live,"rgb(162, 127, 91)",6583px,419px,101%,20211202
k-rock,"rgb(172, 125, 28)",7131px,488px,101%,20211202
norwegian gospel,"rgb(102, 152, 19)",13509px,562px,100%,20211202
post-punk mexicano,"rgb(182, 131, 118)",3586px,421px,100%,20211202
russian viral pop,"rgb(168, 145, 9)",4248px,998px,101%,20211202
rock sul-mato-grossense,"rgb(192, 113, 30)",6918px,492px,100%,20211202
brazilian post-rock,"rgb(134, 139, 191)",11594px,369px,100%,20211202
guam indie,"rgb(133, 142, 82)",10419px,859px,100%,20211202
nasyid,"rgb(119, 150, 8)",11620px,609px,101%,20211202
icelandic hip hop,"rgb(159, 137, 22)",4500px,1045px,100%,20211202
post-disco soul,"rgb(169, 118, 33)",4101px,1086px,100%,20211202
egyptian pop,"rgb(167, 130, 6)",6544px,849px,102%,20211202
ethereal wave,"rgb(131, 141, 106)",9862px,297px,102%,20211202
traditional ska,"rgb(158, 132, 39)",11123px,1073px,100%,20211202
baroque singing,"rgb(14, 180, 145)",17692px,399px,100%,20211202
german jazz rap,"rgb(155, 129, 41)",10544px,1095px,101%,20211202
avant-garde,"rgb(39, 149, 127)",19068px,379px,101%,20211202
vintage chanson,"rgb(74, 150, 6)",18750px,842px,100%,20211202
vintage schlager,"rgb(87, 145, 12)",17824px,743px,101%,20211202
zikir,"rgb(77, 162, 2)",15929px,660px,100%,20211202
classical countertenor,"rgb(39, 159, 22)",19524px,429px,100%,20211202
progressive jazz fusion,"rgb(161, 129, 147)",10631px,518px,101%,20211202
geinin song,"rgb(187, 116, 16)",5783px,783px,100%,20211202
musica mallorquina,"rgb(152, 136, 32)",9406px,651px,100%,20211202
scottish hip hop,"rgb(174, 127, 31)",7663px,940px,100%,20211202
stuttgart indie,"rgb(160, 133, 53)",7829px,492px,100%,20211202
dance pop,"rgb(184, 131, 19)",3268px,838px,144%,20211202
rock,"rgb(178, 112, 29)",10345px,490px,136%,20211202
rock chapin,"rgb(178, 124, 22)",6497px,532px,100%,20211202
kollywood,"rgb(167, 130, 22)",5870px,994px,102%,20211202
musica alagoana,"rgb(136, 145, 17)",10074px,880px,101%,20211202
industrial noise,"rgb(157, 85, 186)",11908px,151px,100%,20211202
la indie,"rgb(167, 129, 47)",6757px,492px,106%,20211202
arab trap,"rgb(182, 145, 96)",3057px,760px,101%,20211202
psybreaks,"rgb(209, 123, 156)",1240px,1086px,100%,20211202
corrosion,"rgb(186, 116, 81)",3731px,366px,100%,20211202
ilocano pop,"rgb(104, 151, 14)",11817px,753px,100%,20211202
irish underground rap,"rgb(160, 132, 41)",10605px,968px,100%,20211202
indie rockism,"rgb(185, 130, 20)",3321px,512px,101%,20211202
latvian hip hop,"rgb(161, 136, 40)",7103px,1051px,100%,20211202
japanese underground rap,"rgb(178, 121, 39)",8942px,991px,100%,20211202
lo-fi rap,"rgb(128, 141, 51)",11409px,1017px,103%,20211202
hard bop,"rgb(91, 145, 84)",17055px,876px,103%,20211202
drone ambient,"rgb(67, 133, 217)",17560px,43px,100%,20211202
barrelhouse piano,"rgb(78, 145, 91)",18565px,1079px,100%,20211202
neo-trad prog,"rgb(146, 138, 55)",8837px,310px,100%,20211202
metal ecuatoriano,"rgb(212, 93, 64)",8014px,304px,100%,20211202
metal balear,"rgb(221, 89, 55)",5375px,256px,100%,20211202
colombian black metal,"rgb(216, 65, 130)",10169px,108px,100%,20211202
austrian black metal,"rgb(217, 65, 129)",8430px,107px,100%,20211202
nuevo regional mexicano,"rgb(155, 141, 3)",11695px,1010px,117%,20211202
tamazight,"rgb(179, 125, 11)",9665px,918px,100%,20211202
turkish death metal,"rgb(229, 62, 145)",7817px,167px,100%,20211202
maskandi,"rgb(199, 131, 12)",2857px,973px,100%,20211202
copla,"rgb(90, 150, 14)",18115px,790px,101%,20211202
sound,"rgb(187, 0, 200)",15257px,72px,102%,20211202
canadian choir,"rgb(29, 160, 102)",20093px,163px,100%,20211202
cubaton,"rgb(203, 132, 3)",4643px,1080px,103%,20211202
punk 'n' roll,"rgb(230, 76, 29)",7941px,244px,101%,20211202
progressive groove metal,"rgb(222, 81, 71)",7486px,256px,102%,20211202
santur,"rgb(102, 152, 175)",17215px,550px,100%,20211202
khaliji,"rgb(168, 128, 3)",9456px,748px,101%,20211202
modern swing,"rgb(117, 123, 97)",15852px,1032px,100%,20211202
nordnorsk ponk,"rgb(212, 89, 67)",8405px,252px,100%,20211202
qawwali,"rgb(168, 119, 11)",12745px,785px,101%,20211202
zamba,"rgb(85, 151, 35)",17110px,1066px,100%,20211202
tolkien metal,"rgb(208, 85, 102)",7351px,156px,101%,20211202
chinese metalcore,"rgb(227, 85, 41)",3083px,254px,100%,20211202
birmingham metal,"rgb(209, 76, 75)",9072px,203px,103%,20211202
musica potosina,"rgb(179, 136, 8)",11184px,1086px,101%,20211202
finnish classical,"rgb(28, 157, 153)",20032px,201px,100%,20211202
portuguese experimental,"rgb(111, 129, 163)",13570px,532px,100%,20211202
somatik techno,"rgb(164, 141, 180)",1930px,1113px,100%,20211202
slamming deathcore,"rgb(234, 69, 120)",6250px,183px,101%,20211202
geek folk,"rgb(106, 145, 18)",13965px,810px,100%,20211202
french orchestra,"rgb(49, 145, 129)",19001px,329px,100%,20211202
saxophone trio,"rgb(116, 128, 104)",14161px,688px,100%,20211202
irish accordion,"rgb(127, 155, 73)",14076px,767px,100%,20211202
deep delta blues,"rgb(75, 145, 52)",19253px,946px,100%,20211202
polish folk,"rgb(116, 150, 29)",13889px,604px,100%,20211202
trap metal italiana,"rgb(181, 130, 10)",6756px,814px,101%,20211202
catalan folk,"rgb(105, 147, 60)",14479px,748px,100%,20211202
disney dansk,"rgb(101, 148, 7)",14063px,693px,100%,20211202
shred,"rgb(191, 106, 145)",6887px,331px,101%,20211202
dutch indie,"rgb(146, 136, 37)",10023px,560px,102%,20211202
medieval ensemble,"rgb(49, 167, 65)",18009px,306px,100%,20211202
hungarian pop,"rgb(183, 128, 9)",5189px,834px,102%,20211202
san marcos tx indie,"rgb(161, 125, 31)",9875px,541px,101%,20211202
nice indie,"rgb(173, 130, 54)",6782px,507px,100%,20211202
rochester ny indie,"rgb(163, 123, 41)",10557px,473px,100%,20211202
ukrainian indie,"rgb(160, 139, 28)",5882px,691px,101%,20211202
binaural,"rgb(71, 50, 201)",16130px,108px,102%,20211202
norwegian indie,"rgb(133, 142, 24)",10778px,555px,104%,20211202
suomi rock,"rgb(170, 125, 15)",8198px,615px,103%,20211202
classic danish rock,"rgb(148, 132, 28)",10754px,618px,100%,20211202
sonora indie,"rgb(199, 107, 52)",6571px,423px,100%,20211202
punk blues,"rgb(197, 92, 59)",10629px,411px,104%,20211202
historically informed performance,"rgb(41, 160, 73)",18592px,397px,100%,20211202
canadian garage rock,"rgb(201, 94, 58)",10270px,346px,100%,20211202
welsh indie,"rgb(158, 131, 44)",9432px,450px,101%,20211202
industrial metal,"rgb(213, 99, 77)",2328px,460px,106%,20211202
thrash core,"rgb(226, 56, 83)",10084px,243px,101%,20211202
russian trap,"rgb(169, 140, 10)",5944px,1008px,107%,20211202
portland indie,"rgb(148, 136, 61)",11086px,481px,101%,20211202
psychedelic pop,"rgb(147, 138, 75)",9570px,494px,101%,20211202
deep hardtechno,"rgb(240, 56, 179)",926px,776px,100%,20211202
chamber orchestra,"rgb(39, 165, 155)",19145px,325px,100%,20211202
detroit hip hop,"rgb(171, 126, 16)",8728px,1062px,108%,20211202
yorkshire folk,"rgb(80, 159, 31)",15613px,762px,100%,20211202
west end,"rgb(82, 146, 24)",15839px,499px,101%,20211202
austropop,"rgb(143, 129, 11)",10209px,884px,102%,20211202
celtic harp,"rgb(46, 178, 175)",18539px,771px,100%,20211202
indian jazz,"rgb(126, 136, 132)",14235px,814px,100%,20211202
musica aragonesa,"rgb(164, 128, 14)",10369px,710px,101%,20211202
swedish jazz,"rgb(80, 153, 81)",16037px,736px,102%,20211202
chanson,"rgb(107, 144, 8)",14743px,757px,107%,20211202
indie catala,"rgb(146, 138, 30)",9951px,644px,102%,20211202
musica mapuche,"rgb(131, 139, 14)",12696px,853px,100%,20211202
arabic jazz,"rgb(102, 151, 137)",14516px,736px,101%,20211202
swiss folk,"rgb(126, 150, 35)",12495px,799px,100%,20211202
gaming dubstep,"rgb(221, 122, 66)",3507px,788px,102%,20211202
indian instrumental,"rgb(140, 135, 63)",12028px,805px,103%,20211202
sefardi,"rgb(90, 156, 25)",15585px,574px,100%,20211202
finnish dance pop,"rgb(177, 131, 5)",5068px,767px,104%,20211202
portuguese jazz,"rgb(83, 154, 123)",15428px,713px,100%,20211202
polyphony,"rgb(61, 158, 18)",18036px,261px,100%,20211202
kawaii edm,"rgb(211, 124, 72)",2316px,651px,101%,20211202
rome indie,"rgb(152, 140, 41)",8026px,620px,103%,20211202
indie pop,"rgb(145, 137, 39)",10381px,530px,119%,20211202
dakke dak,"rgb(202, 126, 40)",2253px,1019px,101%,20211202
czech pop,"rgb(153, 136, 5)",10048px,539px,102%,20211202
marathi hip hop,"rgb(172, 136, 11)",5482px,1029px,100%,20211202
victoria bc indie,"rgb(152, 133, 40)",10308px,503px,101%,20211202
hi-nrg,"rgb(189, 119, 35)",2228px,904px,103%,20211202
japanese melodic punk,"rgb(226, 88, 31)",5634px,325px,100%,20211202
indie pop rock,"rgb(155, 135, 37)",6826px,496px,100%,20211202
scandinavian r&b,"rgb(143, 144, 15)",6397px,906px,102%,20211202
japanese r&b,"rgb(171, 136, 26)",5288px,834px,104%,20211202
huzunlu sarkilar,"rgb(100, 156, 16)",11245px,827px,101%,20211202
german prog,"rgb(150, 134, 105)",9838px,385px,100%,20211202
auckland indie,"rgb(161, 130, 44)",7706px,469px,101%,20211202
uk post-punk revival,"rgb(197, 110, 72)",6091px,425px,101%,20211202
burmese pop,"rgb(159, 140, 9)",8002px,713px,100%,20211202
warrington indie,"rgb(180, 123, 41)",5598px,438px,100%,20211202
folclor colombiano,"rgb(140, 149, 33)",11797px,1088px,100%,20211202
pop paraguayo,"rgb(172, 140, 6)",4975px,928px,100%,20211202
conscious hip hop,"rgb(176, 120, 11)",9091px,1045px,111%,20211202
taiwan idol pop,"rgb(176, 134, 11)",4512px,672px,101%,20211202
danish post-punk,"rgb(191, 110, 74)",8039px,287px,100%,20211202
afro house,"rgb(176, 143, 148)",1015px,1275px,101%,20211202
traditional irish singing,"rgb(29, 168, 12)",19042px,942px,100%,20211202
classical mandolin,"rgb(67, 159, 114)",15972px,1043px,100%,20211202
yaoi,"rgb(165, 128, 87)",5648px,496px,101%,20211202
vintage spanish pop,"rgb(91, 143, 29)",18142px,842px,100%,20211202
novelty,"rgb(129, 129, 15)",12359px,968px,101%,20211202
chabad niggunim,"rgb(122, 144, 46)",13853px,579px,100%,20211202
bosnian indie,"rgb(172, 126, 26)",6508px,801px,100%,20211202
isle of wight indie,"rgb(148, 130, 43)",9738px,527px,100%,20211202
japanese jazz fusion,"rgb(151, 137, 142)",9939px,731px,101%,20211202
alabama indie,"rgb(161, 124, 49)",11160px,465px,101%,20211202
speedcore,"rgb(235, 74, 100)",2236px,534px,100%,20211202
guatemalan pop,"rgb(170, 140, 14)",6546px,987px,100%,20211202
go-go,"rgb(196, 109, 33)",6841px,998px,100%,20211202
beatlesque,"rgb(160, 123, 26)",11222px,496px,108%,20211202
vietnamese hip hop,"rgb(160, 141, 12)",9728px,1015px,102%,20211202
pop teen brasileiro,"rgb(173, 136, 4)",4115px,882px,101%,20211202
azeri pop,"rgb(163, 136, 11)",8296px,788px,100%,20211202
jewish hip hop,"rgb(181, 125, 24)",5294px,1021px,100%,20211202
lagu sabahan,"rgb(161, 139, 7)",5722px,635px,100%,20211202
finnish reggae,"rgb(159, 141, 18)",4828px,1110px,100%,20211202
groove room,"rgb(184, 139, 119)",951px,1235px,102%,20211202
italian classical guitar,"rgb(50, 173, 216)",18486px,930px,100%,20211202
atlanta bass,"rgb(165, 134, 16)",2578px,1179px,101%,20211202
psicodelia chilena,"rgb(127, 141, 74)",13164px,750px,100%,20211202
acid idm,"rgb(180, 134, 189)",2514px,938px,100%,20211202
nz electronic,"rgb(180, 137, 147)",2179px,1006px,101%,20211202
bosnian electronic,"rgb(197, 138, 203)",898px,1242px,100%,20211202
estonian electronic,"rgb(167, 143, 165)",2611px,1008px,100%,20211202
mallsoft,"rgb(141, 128, 173)",9344px,596px,100%,20211202
classical baritone,"rgb(52, 145, 30)",19621px,433px,100%,20211202
georgian folk,"rgb(63, 160, 44)",19200px,274px,100%,20211202
progressive trance,"rgb(212, 123, 130)",1614px,584px,103%,20211202
israeli folk,"rgb(95, 160, 98)",14173px,527px,100%,20211202
arab folk,"rgb(84, 154, 98)",17136px,586px,101%,20211202
japanese buddhist chant,"rgb(65, 160, 49)",16261px,371px,100%,20211202
canadian children's music,"rgb(108, 142, 7)",12359px,1060px,101%,20211202
musica eletronica gospel,"rgb(194, 134, 51)",2538px,757px,100%,20211202
french folk pop,"rgb(155, 132, 12)",9977px,865px,101%,20211202
chamber ensemble,"rgb(35, 166, 150)",19430px,354px,100%,20211202
alternative pop,"rgb(172, 114, 50)",10518px,391px,102%,20211202
funk metal,"rgb(204, 99, 32)",6446px,499px,107%,20211202
hong kong indie,"rgb(143, 137, 31)",9195px,562px,101%,20211202
wind ensemble,"rgb(20, 176, 214)",20153px,383px,100%,20211202
rock cristiano,"rgb(174, 128, 13)",5374px,488px,103%,20211202
uk beatdown,"rgb(218, 86, 52)",9508px,331px,100%,20211202
canadian pop,"rgb(149, 137, 5)",9305px,623px,118%,20211202
swiss hip hop,"rgb(172, 130, 15)",7365px,1006px,101%,20211202
gulf hip hop,"rgb(151, 135, 23)",8529px,944px,100%,20211202
pop,"rgb(169, 137, 12)",4944px,797px,160%,20211202
pop violin,"rgb(119, 153, 112)",13317px,300px,102%,20211202
progressive alternative,"rgb(185, 120, 41)",6509px,362px,100%,20211202
aggrotech,"rgb(219, 105, 103)",1284px,564px,101%,20211202
modern rock,"rgb(185, 119, 29)",5872px,440px,125%,20211202
jazz guitar,"rgb(81, 151, 139)",16898px,1013px,102%,20211202
turkish alternative,"rgb(167, 132, 25)",6583px,530px,103%,20211202
athens indie,"rgb(170, 124, 52)",9961px,417px,102%,20211202
band organ,"rgb(95, 156, 133)",14757px,539px,100%,20211202
nz hip hop,"rgb(171, 132, 19)",4974px,1053px,101%,20211202
batida,"rgb(192, 127, 85)",2500px,1222px,100%,20211202
canadian classical piano,"rgb(42, 166, 213)",19897px,584px,100%,20211202
metal catarinense,"rgb(220, 79, 89)",6594px,252px,100%,20211202
st louis rap,"rgb(163, 145, 2)",3639px,1099px,103%,20211202
moderne ludovky,"rgb(178, 131, 4)",7351px,720px,100%,20211202
german boom bap,"rgb(154, 127, 47)",9430px,1129px,100%,20211202
bansuri,"rgb(83, 161, 147)",17771px,560px,100%,20211202
big band,"rgb(84, 135, 104)",17824px,914px,103%,20211202
veracruz indie,"rgb(145, 141, 30)",9431px,741px,102%,20211202
nasheed,"rgb(98, 150, 12)",15534px,743px,101%,20211202
mantra,"rgb(120, 145, 7)",12892px,849px,100%,20211202
musica juiz-forana,"rgb(150, 137, 15)",9677px,736px,101%,20211202
francoton,"rgb(175, 133, 6)",7537px,851px,111%,20211202
electric blues,"rgb(131, 126, 33)",14384px,898px,105%,20211202
experimental folk,"rgb(87, 154, 117)",14701px,362px,100%,20211202
hungarian rock,"rgb(196, 112, 26)",5488px,530px,101%,20211202
math pop,"rgb(188, 114, 80)",8740px,431px,100%,20211202
industrial hardcore,"rgb(230, 75, 104)",2567px,548px,100%,20211202
texas punk,"rgb(217, 83, 48)",8864px,344px,100%,20211202
deep latin christian,"rgb(119, 152, 15)",11383px,720px,101%,20211202
oakland indie,"rgb(163, 128, 64)",9345px,462px,102%,20211202
neoclassical darkwave,"rgb(107, 148, 124)",12096px,329px,102%,20211202
diva house,"rgb(196, 123, 65)",1363px,1079px,103%,20211202
finnish folk,"rgb(107, 154, 56)",14014px,527px,100%,20211202
gbvfi,"rgb(173, 113, 66)",10295px,405px,101%,20211202
albanian pop,"rgb(176, 130, 6)",6284px,906px,103%,20211202
sad rap,"rgb(138, 153, 16)",6347px,926px,110%,20211202
faroese pop,"rgb(109, 149, 33)",12671px,555px,100%,20211202
german indie rock,"rgb(175, 126, 37)",5887px,475px,100%,20211202
chamber pop,"rgb(111, 148, 58)",12831px,462px,105%,20211202
german post-punk,"rgb(188, 114, 75)",6250px,401px,100%,20211202
baton rouge indie,"rgb(155, 130, 37)",10469px,460px,100%,20211202
classic garage rock,"rgb(167, 112, 32)",11496px,576px,101%,20211202
russian ccm,"rgb(152, 139, 10)",7437px,393px,102%,20211202
afrobeat,"rgb(169, 128, 88)",10507px,1030px,102%,20211202
disney piano,"rgb(28, 177, 229)",18724px,816px,102%,20211202
japanese chill rap,"rgb(169, 131, 19)",7451px,969px,101%,20211202
r&b argentino,"rgb(133, 145, 28)",8716px,930px,102%,20211202
brazilian dnb,"rgb(217, 134, 163)",966px,1131px,100%,20211202
country rap,"rgb(180, 131, 4)",4274px,960px,104%,20211202
thai worship,"rgb(135, 149, 14)",8027px,743px,100%,20211202
afro-funk,"rgb(187, 123, 54)",7575px,1032px,100%,20211202
new jersey rap,"rgb(172, 120, 8)",8979px,1053px,103%,20211202
old school uk hip hop,"rgb(186, 115, 41)",1966px,1197px,100%,20211202
brazilian classical,"rgb(54, 160, 153)",18260px,555px,101%,20211202
nuevo tango,"rgb(82, 155, 113)",17983px,648px,100%,20211202
psicodelia brasileira,"rgb(153, 128, 54)",11854px,726px,101%,20211202
classical guitar,"rgb(38, 171, 209)",19677px,882px,101%,20211202
italian indie pop,"rgb(163, 135, 18)",7939px,672px,106%,20211202
kleinkunst,"rgb(122, 147, 15)",11048px,788px,101%,20211202
lds youth,"rgb(115, 154, 20)",11607px,569px,101%,20211202
scottish gaelic folk,"rgb(79, 164, 9)",14966px,550px,100%,20211202
nederlandse hardstyle,"rgb(221, 114, 33)",2203px,872px,101%,20211202
irish trap,"rgb(143, 151, 15)",5593px,987px,100%,20211202
gaita,"rgb(142, 141, 96)",10826px,274px,100%,20211202
lancashire indie,"rgb(150, 136, 14)",9268px,523px,100%,20211202
power blues-rock,"rgb(176, 121, 35)",10036px,589px,100%,20211202
turkce remix,"rgb(175, 146, 56)",2550px,1091px,101%,20211202
mumbai indie,"rgb(133, 144, 47)",9607px,562px,100%,20211202
modern indie pop,"rgb(140, 144, 14)",7303px,827px,105%,20211202
singaporean pop,"rgb(128, 149, 13)",9652px,726px,102%,20211202
calgary indie,"rgb(148, 132, 49)",11345px,494px,100%,20211202
bubblegum dance,"rgb(206, 121, 26)",1825px,863px,106%,20211202
australian alternative pop,"rgb(145, 143, 24)",6869px,688px,102%,20211202
jawaiian,"rgb(148, 146, 9)",6666px,1013px,103%,20211202
psychedelic folk rock,"rgb(133, 136, 52)",13052px,584px,100%,20211202
slc indie,"rgb(163, 129, 52)",7719px,450px,101%,20211202
sega mauricien,"rgb(181, 131, 19)",5920px,1017px,100%,20211202
deep northern soul,"rgb(148, 127, 33)",10606px,745px,100%,20211202
soft rock,"rgb(149, 129, 14)",9813px,635px,120%,20211202
edinburgh indie,"rgb(162, 130, 54)",8346px,423px,100%,20211202
hindi indie,"rgb(147, 145, 36)",7670px,648px,102%,20211202
zcc,"rgb(132, 141, 6)",13643px,543px,100%,20211202
russian drill,"rgb(163, 148, 9)",4114px,1108px,102%,20211202
afrofuturismo brasileiro,"rgb(178, 131, 38)",5820px,1042px,102%,20211202
britpop,"rgb(181, 120, 32)",6459px,362px,106%,20211202
dreamgaze,"rgb(169, 125, 137)",6692px,199px,100%,20211202
glass,"rgb(28, 179, 135)",18327px,315px,100%,20211202
old school atlanta hip hop,"rgb(174, 130, 5)",3851px,1084px,104%,20211202
tipico,"rgb(175, 135, 5)",12286px,969px,101%,20211202
pennsylvania hardcore,"rgb(229, 71, 57)",10580px,252px,100%,20211202
latincore,"rgb(217, 99, 18)",5484px,314px,101%,20211202
swedish hard rock,"rgb(217, 93, 29)",5844px,244px,102%,20211202
belgian death metal,"rgb(224, 71, 129)",7388px,179px,100%,20211202
korean contemporary classical,"rgb(31, 157, 125)",19689px,265px,100%,20211202
opera chorus,"rgb(70, 134, 41)",20259px,315px,100%,20211202
odia pop,"rgb(173, 129, 6)",11915px,750px,100%,20211202
environmental,"rgb(178, 0, 199)",15772px,60px,104%,20211202
grunge argentina,"rgb(198, 110, 25)",5451px,306px,100%,20211202
mezmur,"rgb(133, 148, 3)",10307px,731px,100%,20211202
rai algerien,"rgb(209, 108, 3)",8188px,769px,100%,20211202
grunge revival,"rgb(196, 107, 45)",6188px,263px,100%,20211202
folk black metal,"rgb(204, 91, 110)",7855px,124px,100%,20211202
rwandan pop,"rgb(110, 101, 2)",11682px,1156px,100%,20211202
czsk black metal,"rgb(218, 69, 106)",8307px,107px,100%,20211202
jewish cantorial,"rgb(60, 154, 17)",20365px,300px,100%,20211202
italian soprano,"rgb(50, 158, 30)",20032px,340px,100%,20211202
partido alto,"rgb(168, 123, 2)",11982px,914px,101%,20211202
brazilian grindcore,"rgb(232, 40, 109)",10243px,160px,100%,20211202
progressive death metal,"rgb(207, 95, 111)",9256px,197px,101%,20211202
rumba catalana,"rgb(193, 114, 12)",11282px,1021px,100%,20211202
malaysian punk,"rgb(204, 105, 18)",5857px,356px,100%,20211202
peruvian death metal,"rgb(228, 62, 113)",9719px,165px,100%,20211202
gymcore,"rgb(216, 104, 13)",3268px,274px,103%,20211202
traditional bluegrass,"rgb(129, 148, 49)",12571px,788px,100%,20211202
british country,"rgb(133, 147, 5)",9887px,562px,100%,20211202
doom metal,"rgb(186, 107, 97)",9899px,172px,101%,20211202
belgian stoner rock,"rgb(201, 100, 86)",8087px,206px,100%,20211202
melodic hard rock,"rgb(206, 107, 10)",4327px,293px,101%,20211202
ukrainian metal,"rgb(209, 94, 103)",6409px,174px,100%,20211202
lullaby,"rgb(44, 154, 149)",15654px,507px,104%,20211202
drill and bass,"rgb(169, 122, 161)",4777px,834px,101%,20211202
korean metal,"rgb(193, 103, 77)",5905px,415px,100%,20211202
ambient fusion,"rgb(150, 141, 144)",4538px,880px,100%,20211202
singaporean electronic,"rgb(190, 139, 137)",1881px,983px,100%,20211202
dub punk,"rgb(189, 113, 47)",5758px,819px,100%,20211202
polish ambient,"rgb(104, 144, 198)",12182px,350px,100%,20211202
illbient,"rgb(147, 130, 153)",6433px,785px,100%,20211202
afghan traditional,"rgb(146, 129, 92)",17612px,446px,100%,20211202
russian modern jazz,"rgb(97, 147, 163)",15202px,579px,100%,20211202
euskal musica,"rgb(130, 145, 17)",12245px,550px,100%,20211202
musical advocacy,"rgb(142, 134, 13)",9520px,507px,101%,20211202
friese muziek,"rgb(140, 138, 13)",10865px,736px,100%,20211202
nova musica amazonense,"rgb(167, 132, 27)",7990px,553px,100%,20211202
french indie folk,"rgb(118, 149, 48)",11184px,682px,101%,20211202
argentine alternative rock,"rgb(171, 129, 29)",6027px,494px,102%,20211202
stomp and whittle,"rgb(154, 136, 30)",9419px,510px,100%,20211202
latin viral pop,"rgb(173, 139, 4)",4962px,844px,105%,20211202
swiss singer-songwriter,"rgb(121, 152, 34)",10062px,693px,100%,20211202
