genre,color,size,left,top
boston electronic,"rgb(168, 136, 146)",100%,1147px,1654px
deep active rock,"rgb(217, 103, 17)",100%,260px,2605px
australian metalcore,"rgb(232, 80, 34)",102%,213px,3629px
slam death metal,"rgb(234, 60, 172)",100%,222px,8108px
melodic groove metal,"rgb(238, 71, 40)",101%,201px,3466px
tabla,"rgb(145, 121, 137)",100%,1005px,11136px
persian neo-traditional,"rgb(77, 159, 160)",100%,533px,13813px
disney italiano,"rgb(93, 142, 3)",100%,696px,12869px
neo-pagan,"rgb(98, 152, 40)",100%,621px,11655px
comedy,"rgb(156, 73, 4)",102%,980px,13462px
yiddish folk,"rgb(76, 152, 40)",100%,936px,14662px
psychedelic rock,"rgb(146, 120, 39)",112%,608px,10898px
soul,"rgb(110, 134, 18)",114%,834px,11850px
austrian pop,"rgb(153, 143, 40)",102%,746px,4795px
french metal,"rgb(208, 91, 93)",101%,273px,6037px
guatemalan indie,"rgb(150, 142, 43)",100%,629px,6982px
liechtenstein,"rgb(87, 152, 117)",100%,233px,11346px
vaikiskos dainos,"rgb(132, 147, 20)",100%,1055px,7698px
twin cities indie,"rgb(153, 130, 35)",100%,565px,7966px
la indie,"rgb(168, 128, 47)",108%,507px,5388px
riot grrrl,"rgb(193, 101, 51)",101%,445px,8120px
ska mexicano,"rgb(200, 114, 27)",103%,795px,6215px
sevilla indie,"rgb(174, 130, 56)",100%,465px,4111px
japanese garage rock,"rgb(215, 84, 48)",100%,319px,8220px
san antonio rap,"rgb(147, 145, 9)",100%,1080px,5323px
rare groove,"rgb(163, 117, 67)",100%,945px,8113px
swedish post-punk,"rgb(185, 112, 45)",100%,480px,6024px
urban contemporary,"rgb(158, 134, 7)",119%,932px,4195px
deep smooth r&b,"rgb(141, 142, 11)",100%,906px,5781px
popgaze,"rgb(176, 114, 117)",101%,319px,8385px
neo soul,"rgb(148, 136, 12)",113%,900px,5557px
instrumental funk,"rgb(154, 130, 132)",102%,974px,8578px
latin funk,"rgb(175, 125, 39)",101%,965px,4667px
indie deutschrap,"rgb(156, 132, 42)",103%,1075px,7649px
dhrupad,"rgb(87, 143, 76)",100%,480px,13973px
show tunes,"rgb(88, 145, 32)",108%,540px,12810px
pet calming,"rgb(27, 168, 207)",102%,187px,15062px
african-american classical,"rgb(72, 143, 133)",101%,928px,14579px
brostep,"rgb(213, 123, 78)",109%,783px,2100px
canadian indigenous,"rgb(126, 141, 39)",100%,718px,8291px
taiwanese indigenous,"rgb(94, 154, 25)",100%,614px,11691px
hungarian pop,"rgb(168, 127, 16)",102%,763px,5803px
classic icelandic pop,"rgb(131, 139, 14)",101%,760px,8679px
himalayan folk,"rgb(78, 163, 79)",100%,569px,12697px
rock en espanol,"rgb(175, 125, 16)",116%,680px,5890px
euskal indie,"rgb(168, 134, 31)",100%,553px,5029px
brazilian indie,"rgb(156, 134, 35)",102%,853px,7265px
indie rock,"rgb(164, 125, 53)",114%,461px,8157px
classic eurovision,"rgb(116, 146, 16)",100%,696px,10874px
rock gaucho,"rgb(181, 121, 15)",105%,656px,6352px
deep indie rock,"rgb(166, 130, 38)",100%,556px,5525px
gospel reggae,"rgb(162, 139, 9)",100%,976px,4896px
pornogrind,"rgb(217, 69, 125)",100%,284px,6908px
drift,"rgb(62, 149, 217)",101%,131px,13435px
bemani,"rgb(50, 151, 197)",100%,162px,12358px
brasilia hip hop,"rgb(133, 150, 37)",102%,1159px,5287px
latin classical,"rgb(64, 154, 121)",102%,779px,15372px
mexican classical,"rgb(35, 165, 161)",100%,584px,16018px
norwegian contemporary jazz,"rgb(80, 148, 141)",100%,535px,12339px
free improvisation,"rgb(78, 137, 113)",100%,696px,13629px
norwegian jazz,"rgb(67, 154, 131)",101%,627px,13133px
german rock,"rgb(179, 114, 14)",107%,635px,6278px
musica timor-leste,"rgb(104, 148, 15)",100%,728px,11970px
norwegian gospel,"rgb(97, 152, 19)",100%,581px,11382px
guitar case,"rgb(150, 141, 20)",100%,606px,5694px
spanish folk,"rgb(121, 147, 35)",100%,619px,11630px
portuguese rock,"rgb(163, 129, 40)",101%,563px,6377px
argentine jazz,"rgb(85, 152, 153)",100%,906px,13521px
italian mandolin,"rgb(91, 158, 135)",100%,551px,12178px
indonesian post-hardcore,"rgb(209, 95, 38)",100%,341px,4160px
hammond organ,"rgb(128, 134, 121)",100%,890px,11147px
hard rock brasileiro,"rgb(215, 97, 17)",103%,478px,5592px
go-go,"rgb(195, 109, 32)",100%,1001px,5582px
uk garage,"rgb(187, 123, 76)",102%,1145px,1841px
chinese indie rock,"rgb(173, 123, 69)",100%,469px,5840px
funky breaks,"rgb(196, 124, 111)",100%,1161px,1392px
experimental club,"rgb(179, 122, 146)",100%,880px,3787px
musica andorra,"rgb(180, 141, 154)",100%,1150px,1355px
korean electronic,"rgb(187, 139, 189)",100%,1057px,1418px
hardvapour,"rgb(152, 130, 161)",101%,598px,6365px
8-bit,"rgb(152, 155, 181)",100%,660px,2078px
bajki,"rgb(67, 143, 94)",100%,616px,13026px
cabaret,"rgb(65, 145, 18)",100%,853px,15588px
swing,"rgb(77, 139, 86)",104%,926px,14597px
instrumental acoustic guitar,"rgb(67, 175, 193)",101%,770px,13161px
classic rock,"rgb(153, 119, 27)",123%,696px,9846px
german punk,"rgb(212, 93, 21)",102%,451px,5902px
italian alternative,"rgb(166, 133, 27)",106%,677px,6316px
australian indie,"rgb(170, 131, 30)",106%,531px,5815px
nice indie,"rgb(166, 132, 56)",100%,509px,6315px
danish pop,"rgb(168, 135, 10)",106%,857px,4091px
orquesta cubana,"rgb(153, 121, 89)",100%,940px,11714px
psychedelic blues-rock,"rgb(170, 114, 51)",100%,505px,10257px
okc indie,"rgb(160, 128, 45)",101%,411px,8603px
baile pop,"rgb(152, 138, 13)",108%,926px,7390px
brazilian ska,"rgb(198, 123, 24)",100%,772px,4208px
japanese trap,"rgb(172, 145, 12)",100%,945px,3811px
turkish edm,"rgb(192, 143, 109)",101%,1161px,1206px
industrial metal,"rgb(212, 97, 77)",106%,473px,1909px
norman ok indie,"rgb(154, 129, 59)",100%,441px,9525px
icelandic hip hop,"rgb(158, 137, 20)",100%,1049px,3787px
philly soul,"rgb(148, 126, 12)",103%,774px,8315px
hip hop,"rgb(173, 124, 11)",131%,1077px,4933px
punjabi hip hop,"rgb(171, 138, 18)",101%,1060px,4667px
musique touareg,"rgb(131, 145, 52)",100%,916px,11307px
folkmusik,"rgb(84, 159, 51)",101%,581px,12983px
progressive jazz fusion,"rgb(159, 130, 146)",101%,535px,9191px
jig and reel,"rgb(106, 161, 118)",100%,728px,13112px
deep delta blues,"rgb(75, 144, 57)",100%,941px,15729px
french reggae,"rgb(142, 137, 11)",103%,1066px,8527px
dresden indie,"rgb(161, 130, 45)",100%,522px,7480px
portsmouth indie,"rgb(177, 124, 36)",100%,501px,6649px
cuban alternative,"rgb(158, 134, 26)",101%,990px,8101px
czech rock,"rgb(157, 129, 12)",102%,589px,8742px
turin indie,"rgb(169, 128, 51)",101%,549px,5828px
russian rock,"rgb(163, 125, 17)",102%,746px,6467px
rock,"rgb(175, 112, 30)",137%,499px,8234px
serbian alternative rock,"rgb(192, 109, 47)",100%,535px,6390px
german dark minimal techno,"rgb(192, 132, 214)",100%,1125px,355px
german indie pop,"rgb(157, 141, 44)",100%,779px,4254px
tucson indie,"rgb(134, 136, 72)",100%,538px,10578px
sami,"rgb(103, 149, 31)",100%,579px,10774px
slovenian rock,"rgb(162, 124, 28)",100%,560px,8133px
brazilian post-rock,"rgb(133, 139, 192)",100%,376px,9895px
british soul,"rgb(155, 136, 15)",107%,865px,4808px
motown,"rgb(142, 125, 14)",111%,817px,9197px
egyptian pop,"rgb(166, 130, 6)",102%,847px,5189px
j-reggae,"rgb(192, 130, 14)",101%,982px,3824px
pinoy alternative rap,"rgb(170, 133, 17)",102%,1093px,5099px
vintage schlager,"rgb(91, 145, 11)",101%,746px,14200px
faroese folk,"rgb(72, 156, 49)",100%,608px,12660px
puerto rican rock,"rgb(181, 121, 19)",102%,647px,5987px
ryukoka,"rgb(71, 161, 18)",100%,601px,15147px
rap galego,"rgb(190, 121, 14)",100%,896px,5570px
pop house,"rgb(207, 121, 55)",104%,995px,1134px
italian folk,"rgb(122, 145, 22)",100%,758px,10755px
nova musica maranhense,"rgb(143, 141, 16)",100%,810px,6793px
scottish hip hop,"rgb(175, 125, 27)",100%,936px,6161px
isle of wight indie,"rgb(146, 130, 44)",100%,533px,8171px
musica mallorquina,"rgb(154, 135, 30)",100%,656px,7566px
japanese concert band,"rgb(98, 136, 174)",100%,401px,13392px
dakke dak,"rgb(204, 125, 51)",102%,1018px,1713px
deep tropical house,"rgb(186, 141, 65)",107%,972px,1799px
london on indie,"rgb(187, 104, 44)",100%,397px,6451px
scandinavian r&b,"rgb(145, 143, 14)",102%,904px,4945px
belarusian indie,"rgb(181, 123, 26)",101%,596px,4647px
vancouver indie,"rgb(157, 131, 47)",102%,473px,8011px
alternative r&b,"rgb(136, 145, 26)",115%,878px,6692px
italian arena pop,"rgb(172, 134, 8)",108%,696px,4969px
alternative rock,"rgb(179, 112, 51)",117%,425px,8361px
russian trap,"rgb(170, 138, 11)",103%,993px,4908px
burmese pop,"rgb(165, 139, 12)",100%,723px,6203px
ilocano pop,"rgb(104, 151, 14)",100%,758px,9589px
jewish hip hop,"rgb(181, 124, 24)",100%,1023px,4496px
bay area hip hop,"rgb(168, 132, 5)",100%,1102px,4580px
trap queen,"rgb(166, 139, 3)",108%,1116px,4022px
boy soprano,"rgb(27, 172, 59)",100%,280px,16291px
santur,"rgb(101, 149, 179)",100%,524px,14188px
pennsylvania hardcore,"rgb(229, 70, 55)",100%,264px,8790px
musica jibara,"rgb(129, 143, 19)",100%,1022px,10655px
latin american heavy psych,"rgb(178, 116, 135)",100%,226px,9061px
acoustic opm,"rgb(105, 161, 5)",101%,653px,10886px
funk bh,"rgb(152, 148, 1)",102%,1278px,7428px
copla,"rgb(90, 150, 14)",101%,799px,14770px
sertanejo pop,"rgb(188, 133, 1)",109%,827px,6540px
wassoulou,"rgb(155, 138, 24)",100%,986px,8149px
anthem emo,"rgb(203, 106, 14)",103%,311px,3768px
german hard rock,"rgb(208, 100, 33)",102%,297px,5265px
metal,"rgb(217, 81, 57)",112%,246px,6710px
brazilian punk rock,"rgb(228, 85, 25)",101%,338px,6270px
uk post-metal,"rgb(160, 121, 173)",100%,136px,7888px
haryanvi pop,"rgb(201, 132, 1)",101%,1132px,2298px
czsk black metal,"rgb(217, 68, 111)",100%,120px,6956px
finnish classical,"rgb(28, 157, 150)",100%,213px,16193px
tipico,"rgb(175, 134, 5)",100%,967px,9910px
emoviolence,"rgb(210, 73, 132)",100%,176px,8663px
christian thrash metal,"rgb(219, 87, 63)",100%,336px,6920px
black speed metal,"rgb(233, 56, 102)",100%,119px,7602px
latincore,"rgb(217, 98, 19)",101%,321px,4668px
nwothm,"rgb(221, 85, 46)",100%,236px,5717px
qawwali,"rgb(168, 119, 11)",101%,792px,10124px
melodic deathcore,"rgb(233, 70, 77)",101%,226px,4173px
irish electronic,"rgb(177, 140, 186)",100%,1084px,1503px
french post-punk,"rgb(118, 142, 36)",100%,1161px,8986px
deep idm,"rgb(154, 130, 174)",100%,847px,4292px
voidgrind,"rgb(221, 53, 184)",100%,55px,8725px
west end,"rgb(82, 145, 23)",101%,511px,12897px
contemporary classical,"rgb(30, 154, 137)",101%,347px,15679px
yorkshire folk,"rgb(79, 159, 30)",100%,774px,12789px
irish accordion,"rgb(127, 155, 72)",100%,770px,11394px
musica costarricense,"rgb(143, 141, 24)",100%,836px,8803px
magyar,"rgb(127, 142, 36)",100%,792px,9725px
french worship,"rgb(129, 146, 23)",101%,488px,10318px
cornetas y tambores,"rgb(90, 141, 162)",100%,556px,13801px
hamburger schule,"rgb(166, 130, 25)",100%,635px,5766px
baroque pop,"rgb(137, 134, 35)",107%,567px,10418px
classic danish rock,"rgb(148, 131, 28)",100%,624px,8963px
rebetiko,"rgb(116, 148, 21)",100%,894px,12767px
tape club,"rgb(153, 131, 58)",100%,494px,8454px
punk blues,"rgb(196, 93, 58)",105%,429px,8863px
modern blues rock,"rgb(179, 116, 37)",105%,518px,9026px
modern rock,"rgb(185, 119, 30)",126%,437px,5115px
diva house,"rgb(196, 123, 66)",103%,1080px,1183px
portland indie,"rgb(150, 136, 60)",101%,488px,9750px
psychedelic pop,"rgb(147, 138, 74)",101%,496px,7689px
charlotte nc indie,"rgb(169, 124, 41)",100%,447px,7765px
baton rouge indie,"rgb(156, 130, 38)",100%,473px,8492px
chamber orchestra,"rgb(40, 165, 155)",100%,338px,15569px
east coast hip hop,"rgb(180, 112, 13)",110%,1107px,6046px
hyphy,"rgb(172, 128, 3)",103%,1100px,5457px
crunk,"rgb(171, 130, 3)",104%,1115px,3095px
neoclassicism,"rgb(34, 154, 157)",101%,385px,16034px
quatuor a cordes,"rgb(29, 164, 106)",100%,391px,15839px
afro psych,"rgb(164, 126, 58)",100%,894px,8328px
bolero,"rgb(111, 145, 19)",108%,857px,12264px
polyphony,"rgb(61, 158, 18)",100%,273px,14619px
cornwall indie,"rgb(153, 132, 37)",100%,463px,8925px
novelty,"rgb(130, 129, 16)",100%,965px,9886px
japanese indie folk,"rgb(129, 146, 48)",100%,614px,10937px
poznan indie,"rgb(178, 122, 51)",100%,482px,5451px
modern blues,"rgb(155, 125, 34)",104%,751px,9451px
perth indie,"rgb(161, 131, 35)",101%,503px,7154px
polish punk,"rgb(205, 101, 28)",101%,469px,5604px
melbourne indie,"rgb(145, 137, 55)",101%,492px,10111px
world meditation,"rgb(74, 107, 192)",101%,167px,13370px
norwegian prog,"rgb(150, 129, 67)",100%,423px,9012px
brazilian indie rock,"rgb(163, 129, 64)",100%,443px,8336px
west yorkshire indie,"rgb(189, 110, 27)",100%,359px,7664px
asbury park indie,"rgb(149, 134, 44)",100%,547px,7892px
nz indie,"rgb(154, 133, 60)",101%,476px,8220px
instrumental stoner rock,"rgb(171, 123, 157)",100%,330px,9340px
dutch idol pop,"rgb(142, 148, 5)",100%,779px,6677px
country rap,"rgb(181, 130, 4)",105%,963px,3423px
nu-cumbia,"rgb(173, 141, 66)",104%,1062px,3701px
neofolk,"rgb(129, 134, 104)",100%,351px,9227px
taiwan pop,"rgb(154, 137, 8)",104%,601px,6086px
swiss contemporary classical,"rgb(33, 150, 124)",100%,368px,15581px
christian relaxative,"rgb(77, 162, 113)",103%,522px,12007px
catalan folk,"rgb(104, 146, 62)",100%,753px,11838px
polish folk,"rgb(117, 150, 28)",100%,624px,11566px
classic russian rock,"rgb(154, 125, 19)",101%,718px,7690px
volkspop,"rgb(163, 130, 18)",101%,934px,6440px
ecuadorian alternative rock,"rgb(186, 116, 43)",100%,556px,5864px
j-dance,"rgb(199, 128, 37)",102%,779px,2196px
tamil hip hop,"rgb(173, 134, 19)",101%,916px,5000px
rap napoletano,"rgb(174, 131, 19)",104%,932px,5973px
bush ballad,"rgb(98, 150, 8)",100%,940px,11439px
duduk,"rgb(91, 168, 169)",100%,409px,12574px
duluth indie,"rgb(129, 137, 48)",100%,496px,10848px
historically informed performance,"rgb(41, 160, 74)",100%,401px,15028px
post-punk mexicano,"rgb(183, 132, 109)",100%,433px,2799px
gbvfi,"rgb(168, 115, 65)",101%,431px,8802px
cambodian rock,"rgb(168, 126, 69)",100%,577px,8654px
via,"rgb(131, 133, 10)",100%,629px,9439px
folclor colombiano,"rgb(137, 150, 36)",100%,1073px,8962px
opm,"rgb(125, 148, 14)",108%,593px,8555px
ragga jungle,"rgb(210, 128, 66)",100%,1082px,1825px
finnish reggae,"rgb(158, 141, 17)",100%,1145px,4059px
thai pop,"rgb(154, 141, 12)",104%,733px,5205px
bedroom soul,"rgb(113, 152, 18)",105%,890px,8428px
smooth soul,"rgb(148, 138, 25)",100%,963px,4296px
gangster rap,"rgb(173, 125, 5)",116%,1111px,4420px
experimental ambient,"rgb(86, 149, 191)",101%,323px,11296px
ambient trance,"rgb(155, 140, 194)",100%,718px,3036px
acid idm,"rgb(179, 134, 185)",100%,938px,2175px
portuguese experimental,"rgb(108, 128, 161)",100%,524px,11456px
abstract idm,"rgb(152, 134, 168)",100%,627px,5246px
somatik techno,"rgb(163, 141, 186)",100%,1143px,1430px
polish ambient,"rgb(105, 143, 196)",100%,368px,9922px
british contemporary classical,"rgb(32, 159, 123)",100%,308px,15593px
vocal ensemble,"rgb(33, 165, 22)",100%,247px,15846px
deep dance pop,"rgb(178, 132, 24)",100%,792px,2820px
finlandssvenska musik,"rgb(146, 142, 11)",100%,627px,7215px
thai indie rock,"rgb(164, 134, 25)",103%,589px,4783px
pop violin,"rgb(117, 152, 118)",102%,295px,11239px
chamber pop,"rgb(110, 150, 54)",106%,496px,10860px
texas punk,"rgb(217, 83, 47)",100%,353px,7541px
post-rock latinoamericano,"rgb(150, 140, 175)",100%,308px,9024px
pernambuco alternative,"rgb(155, 136, 35)",101%,810px,7091px
australian rock,"rgb(171, 123, 17)",106%,589px,7130px
nu-metalcore,"rgb(226, 86, 37)",102%,326px,2950px
album rock,"rgb(175, 112, 29)",122%,480px,8615px
swedish indie rock,"rgb(179, 123, 44)",102%,382px,6574px
mariachi cristiano,"rgb(127, 152, 31)",101%,790px,8716px
czech hip hop,"rgb(178, 129, 12)",101%,949px,4259px
classic opm,"rgb(116, 150, 12)",105%,574px,10343px
dutch indie rock,"rgb(167, 128, 49)",101%,433px,6587px
papuri,"rgb(121, 148, 15)",101%,484px,9562px
arab pop,"rgb(165, 128, 10)",103%,758px,6652px
romanian trap,"rgb(173, 136, 22)",101%,1057px,6250px
southern hip hop,"rgb(170, 132, 4)",122%,1057px,4508px
dunedin sound,"rgb(162, 122, 98)",100%,384px,9166px
rap tico,"rgb(174, 137, 41)",100%,1106px,5062px
medieval,"rgb(31, 170, 50)",100%,308px,15741px
deathstep,"rgb(219, 117, 88)",101%,627px,2928px
michigan indie,"rgb(136, 135, 33)",100%,586px,9809px
indonesian jazz,"rgb(128, 145, 56)",103%,786px,8753px
japanese prog,"rgb(169, 111, 105)",100%,425px,9700px
deathgrass,"rgb(181, 111, 28)",100%,577px,9252px
brill building pop,"rgb(119, 134, 13)",109%,673px,11887px
dark psytrance,"rgb(226, 116, 175)",100%,878px,850px
modern uplift,"rgb(185, 122, 18)",101%,391px,4333px
pinoy indie,"rgb(151, 137, 25)",105%,608px,6686px
belgian pop,"rgb(153, 141, 23)",103%,801px,4858px
russian reggae,"rgb(173, 130, 12)",100%,976px,5998px
gospel,"rgb(130, 130, 6)",103%,560px,11171px
indie siciliano,"rgb(136, 143, 31)",100%,660px,8508px
avant-garde metal,"rgb(190, 92, 109)",101%,244px,8324px
tampa indie,"rgb(172, 123, 48)",100%,389px,6820px
german alternative rock,"rgb(198, 112, 22)",102%,449px,3574px
ukrainian pop,"rgb(187, 128, 8)",102%,786px,3143px
norwegian pop rap,"rgb(165, 139, 7)",102%,990px,4921px
kosovan pop,"rgb(174, 132, 10)",102%,930px,4679px
rock nacional brasileiro,"rgb(184, 120, 10)",105%,699px,5401px
britpop,"rgb(181, 119, 32)",107%,384px,5332px
scottish new wave,"rgb(176, 117, 40)",102%,527px,5376px
russian ccm,"rgb(152, 139, 10)",102%,403px,6611px
irish hip hop,"rgb(160, 137, 26)",102%,1031px,5594px
classic luk thung,"rgb(113, 154, 4)",100%,596px,11209px
edinburgh indie,"rgb(161, 131, 56)",100%,435px,6784px
israeli hip hop,"rgb(178, 130, 18)",101%,988px,4383px
hindi hip hop,"rgb(185, 127, 16)",101%,1089px,3036px
hungarian underground rap,"rgb(177, 123, 29)",100%,1079px,7686px
houston rap,"rgb(160, 133, 4)",105%,1082px,4855px
dirty south rap,"rgb(167, 133, 3)",108%,1095px,3574px
alberta hip hop,"rgb(156, 143, 9)",100%,1068px,4793px
cumbia andina mexicana,"rgb(161, 149, 12)",101%,1035px,7059px
irish ballad,"rgb(55, 160, 11)",100%,496px,15535px
jazz trombone,"rgb(86, 131, 112)",101%,865px,14340px
contrabass,"rgb(34, 162, 189)",100%,364px,15492px
estonian jazz,"rgb(85, 157, 117)",100%,710px,12451px
british jazz,"rgb(106, 138, 120)",101%,748px,12438px
comic metal,"rgb(206, 92, 34)",103%,443px,4796px
blues band,"rgb(139, 132, 48)",100%,849px,8937px
socal pop punk,"rgb(215, 96, 16)",105%,417px,4631px
german jazz,"rgb(86, 150, 145)",100%,741px,13124px
neoclassical darkwave,"rgb(110, 147, 128)",102%,338px,9712px
irish pop,"rgb(133, 148, 23)",104%,614px,7627px
pop rock,"rgb(167, 130, 14)",126%,529px,5616px
spanish indie pop,"rgb(168, 132, 41)",104%,499px,5889px
pub rock,"rgb(178, 110, 25)",103%,535px,8412px
calgary indie,"rgb(149, 132, 47)",100%,511px,9836px
australian alternative rock,"rgb(177, 119, 28)",103%,463px,7517px
polish pop,"rgb(163, 134, 12)",104%,680px,5389px
german indie rock,"rgb(175, 126, 36)",100%,488px,4808px
norsk lovsang,"rgb(129, 145, 15)",100%,459px,8504px
rotterdam indie,"rgb(173, 125, 45)",100%,429px,7456px
windsor on indie,"rgb(170, 124, 43)",100%,453px,6538px
turkish pop,"rgb(159, 136, 15)",110%,721px,6249px
medieval folk,"rgb(124, 143, 81)",102%,360px,9203px
caribbean metal,"rgb(222, 80, 64)",100%,289px,7103px
band organ,"rgb(96, 156, 131)",100%,553px,12227px
hamburg hip hop,"rgb(174, 128, 24)",104%,1051px,6085px
atl hip hop,"rgb(164, 139, 4)",116%,1049px,3251px
st louis rap,"rgb(164, 144, 2)",103%,1089px,2928px
slow game,"rgb(164, 141, 10)",101%,1018px,3799px
folclore navarra,"rgb(80, 150, 27)",100%,819px,14278px
italian baritone,"rgb(62, 139, 29)",100%,409px,16291px
epic doom,"rgb(184, 112, 52)",100%,160px,8491px
indonesian death metal,"rgb(231, 63, 105)",100%,275px,6932px
deep melodic hard rock,"rgb(211, 99, 19)",100%,295px,5951px
lithuanian metal,"rgb(214, 82, 96)",100%,169px,5693px
instrumental death metal,"rgb(209, 90, 207)",100%,226px,4796px
montana metal,"rgb(215, 87, 77)",100%,251px,5988px
sleaze rock,"rgb(214, 93, 22)",103%,300px,4582px
norteno-sax,"rgb(193, 142, 4)",102%,910px,7117px
western ny metal,"rgb(228, 70, 92)",100%,210px,7030px
quran,"rgb(54, 170, 2)",101%,702px,15523px
jewish cantorial,"rgb(60, 154, 17)",100%,321px,16600px
modern salsa,"rgb(199, 133, 3)",103%,1031px,7938px
italian modern prog,"rgb(127, 144, 87)",100%,264px,9215px
orgcore,"rgb(223, 84, 25)",102%,298px,6451px
regional mexican pop,"rgb(160, 140, 4)",112%,1016px,8489px
swedish hard rock,"rgb(217, 93, 29)",102%,258px,4820px
italian mezzo-soprano,"rgb(52, 150, 25)",100%,423px,16452px
partido alto,"rgb(168, 123, 2)",101%,924px,9408px
taiwan punk,"rgb(207, 106, 21)",100%,351px,3314px
mathcore,"rgb(218, 71, 96)",101%,206px,8059px
rumba congolaise,"rgb(178, 128, 11)",100%,949px,9922px
doom metal,"rgb(186, 107, 97)",101%,181px,8454px
gothic symphonic metal,"rgb(194, 115, 42)",103%,247px,4631px
peruvian death metal,"rgb(228, 62, 116)",100%,173px,8220px
belgian stoner rock,"rgb(200, 100, 84)",100%,219px,6784px
cleveland metal,"rgb(221, 79, 51)",100%,240px,7017px
argentine ambient,"rgb(75, 152, 177)",101%,397px,11593px
shamisen,"rgb(131, 142, 163)",100%,1125px,9626px
chiptune,"rgb(157, 135, 168)",101%,598px,3912px
german techno,"rgb(189, 132, 137)",106%,1062px,1170px
chinese experimental,"rgb(147, 133, 126)",100%,693px,6365px
electronica,"rgb(160, 137, 123)",110%,880px,2993px
icelandic electronic,"rgb(146, 145, 141)",101%,842px,3466px
spytrack,"rgb(103, 147, 159)",100%,632px,10713px
ringtone,"rgb(106, 117, 76)",100%,453px,3789px
symphonic melodic death metal,"rgb(226, 85, 82)",100%,141px,3552px
australian blues,"rgb(141, 134, 32)",100%,790px,9712px
vintage rockabilly,"rgb(147, 125, 15)",100%,947px,10918px
necrogrind,"rgb(221, 53, 127)",100%,195px,7765px
south carolina hip hop,"rgb(163, 141, 3)",103%,1022px,2857px
schweizer rap,"rgb(168, 134, 14)",101%,1008px,6262px
rochester mn indie,"rgb(155, 130, 47)",101%,503px,7345px
vietnamese hip hop,"rgb(165, 137, 11)",101%,972px,6478px
ostrock,"rgb(151, 132, 16)",100%,673px,7603px
idol,"rgb(154, 140, 12)",102%,565px,6439px
afrikaans,"rgb(147, 141, 9)",101%,673px,6329px
brazilian reggae,"rgb(157, 140, 11)",104%,1064px,5532px
alternative pop,"rgb(173, 114, 54)",102%,393px,8667px
chinese electropop,"rgb(165, 142, 20)",101%,783px,3983px
maine hip hop,"rgb(170, 130, 29)",100%,963px,5459px
wellington indie,"rgb(144, 139, 69)",100%,463px,9675px
czsk hip hop,"rgb(178, 133, 17)",103%,976px,4858px
chicago soul,"rgb(126, 129, 7)",102%,755px,11382px
afrofuturismo brasileiro,"rgb(178, 130, 39)",103%,1042px,4704px
classic malaysian pop,"rgb(151, 136, 12)",101%,553px,7240px
ukrainian hip hop,"rgb(169, 127, 8)",100%,1049px,7084px
estonian hip hop,"rgb(174, 134, 30)",101%,982px,4183px
philly indie,"rgb(176, 119, 51)",102%,372px,7590px
uk hip hop,"rgb(178, 128, 22)",109%,1042px,6818px
albanian folk,"rgb(124, 139, 39)",100%,453px,12509px
rock steady,"rgb(133, 143, 40)",103%,1199px,6105px
flint hip hop,"rgb(169, 136, 6)",100%,1075px,3854px
swedish classical,"rgb(27, 160, 122)",100%,315px,15973px
classical performance,"rgb(43, 154, 130)",101%,374px,15741px
musica de intervencao,"rgb(106, 149, 13)",100%,772px,11995px
radio symphony,"rgb(42, 153, 154)",100%,308px,15667px
indie curitibano,"rgb(141, 143, 22)",101%,741px,7398px
mountain dulcimer,"rgb(66, 167, 58)",100%,865px,13718px
portuguese jazz,"rgb(92, 154, 99)",100%,733px,12117px
kantele,"rgb(62, 166, 59)",100%,563px,13093px
northern irish indie,"rgb(176, 123, 43)",101%,439px,4709px
beach music,"rgb(146, 128, 16)",100%,763px,8609px
italian blues,"rgb(144, 136, 56)",100%,767px,9352px
kc indie,"rgb(167, 123, 42)",101%,486px,7284px
barbadian pop,"rgb(186, 132, 12)",105%,955px,2390px
c86,"rgb(166, 122, 55)",101%,459px,7079px
afro r&b,"rgb(144, 148, 10)",100%,938px,6149px
indonesian rock,"rgb(184, 120, 21)",102%,476px,5042px
rune folk,"rgb(120, 143, 104)",101%,330px,9012px
rautalanka,"rgb(173, 136, 120)",100%,503px,7529px
malawian folk,"rgb(113, 144, 18)",100%,986px,11320px
korean r&b,"rgb(158, 141, 26)",105%,926px,6453px
r&b en espanol,"rgb(145, 150, 12)",107%,1033px,6615px
german alternative rap,"rgb(170, 131, 19)",104%,1042px,6909px
uk drill,"rgb(168, 134, 11)",104%,1062px,7185px
dub reggae,"rgb(161, 152, 105)",100%,1182px,1368px
garage pop,"rgb(206, 87, 85)",101%,304px,8454px
russian chanson,"rgb(168, 126, 5)",101%,912px,5057px
hip hop boliviano,"rgb(150, 142, 17)",100%,1044px,5187px
portuguese contemporary classical,"rgb(40, 159, 128)",100%,407px,15505px
rock andaluz,"rgb(182, 121, 16)",102%,656px,7841px
bow pop,"rgb(91, 154, 142)",105%,405px,11870px
canzone d'autore,"rgb(115, 143, 7)",102%,656px,11813px
arkansas indie,"rgb(145, 136, 26)",100%,540px,9725px
brazilian neo-psychedelic,"rgb(153, 130, 83)",100%,401px,10012px
neo kyma,"rgb(104, 152, 38)",100%,619px,12300px
experimental folk,"rgb(92, 153, 108)",100%,378px,11845px
